neighbourhood_name,population_total,median_household_income,percent_immigrants,unemployment_rate
West Humber-Clairville,29000,30600,250,14.3
Mount Olive-Silverstone-Jamestown,25660,28000,385,17.7
Thistletown-Beaumond Heights,8355,32800,85,16.6
Rexdale-Kipling,8800,27400,95,13.9
Elms-Old Rexdale,7745,33600,95,18.5
Kingsview Village-The Westway,18090,34400,145,18.1
Willowridge-Martingrove-Richview,18945,40400,180,14.3
Humber Heights-Westmount,8635,40800,130,12.9
Edenbridge-Humber Valley,13125,50400,105,12.1
Princess-Rosethorn,9425,55200,25,11.4
Eringate-Centennial-West Deane,15805,49600,50,12.8
Markland Wood,9055,51600,25,12.2
Etobicoke West Mall,10085,44000,85,14.2
Kingsway South,7420,66000,0,8.3
Stonegate-Queensway,21430,43600,65,12.0
New Toronto,9695,31200,45,13.2
Long Branch,9765,41200,15,11.5
Alderwood,10560,41600,25,11.9
Humber Summit,10345,29200,135,17.4
Humbermede,13930,30800,200,16.2
Pelmo Park-Humberlea,9595,42400,125,13.8
Black Creek,17140,25600,310,19.5
Glenfield-Jane Heights,25070,26800,365,19.1
York University Heights,24395,28200,220,16.4
Rustic,7765,28000,165,18.6
Maple Leaf,8385,33200,70,14.8
Brookhaven-Amesbury,14430,33200,285,17.2
Yorkdale-Glen Park,14565,34000,160,16.0
Englemount-Lawrence,16980,33600,75,12.6
Clanton Park,14775,39600,80,12.1
Bathurst Manor,13675,32000,65,12.6
Westminster-Branson,22325,30800,215,15.5
Newtonbrook West,21200,29200,185,13.7
Willowdale West,15390,33200,80,12.0
Lansing-Westgate,13590,44000,65,11.5
Bedford Park-Nortown,18160,48800,35,10.4
St.Andrew-Windfields,14525,54000,85,10.8
Bridle Path-Sunnybrook-York Mills,7625,93000,30,8.2
Banbury-Don Mills,23680,53600,135,10.5
Victoria Village,14660,34800,110,16.8
Flemingdon Park,18375,33600,260,16.5
Pleasant View,13410,30400,70,16.9
Don Valley Village,22945,35600,205,15.1
Hillcrest Village,14400,26400,210,13.6
Bayview Woods-Steeles,10770,40800,100,13.4
Newtonbrook East,13770,31600,155,13.1
Bayview Village,19940,50000,125,13.7
Henry Farm,16970,38000,50,13.7
O`Connor Parkview,15500,35600,80,17.0
Thorncliffe Park,15425,34400,325,17.9
Leaside-Bennington,13630,52800,20,11.2
Broadview North,9490,38800,85,14.7
Old East York,7745,36400,15,12.2
Danforth-East York,13990,38400,55,11.1
Woodbine-Lumsden,6625,35600,75,12.0
Taylor Massey,12345,31400,180,18.8
East End Danforth,18105,34000,35,12.9
